State,Fruit,Seasonality
Utah,Horseradish," January, February, March, April, October, November, December"
Utah,Kale," July, August, September, October, November"
Utah,Kohlrabi," July, August, September"
Utah,Lamb's Quarters," May, June, July, August, September, October"
Utah,Lavender," July, August, September, October"
Utah,Leeks," January, February, March, August, September, October, November, December"
Utah,Lettuce," June, July, August, September, October, November"
Utah,Lima Beans, September
Utah,Melons," August, September"
Utah,Mint," May, June, July, August, September, October"
Utah,Morels," April, May, June"
Utah,Mushrooms," March, April, May, June, July, August, September, October, November"
Utah,Mustard Greens," July, August, September, October, November"
Utah,Nectarines," July, August"
Utah,Nettles," April, May, June"
Utah,Nopales," September, October, November, December"
Utah,Onions," January, February, March, August, September, October, November, December"
Utah,Oregano," August, September"
Utah,Parsley," June, July, August, September, October"
Utah,Parsnips," September, October, November"
Utah,Pea Shoots," March, April, May"
Utah,Peaches," July, August, September"
Utah,Pears," July, August"
Utah,Peas," June, July"
Utah,Peppers," August, September, October"
Utah,Plums," July, August, September, October"
Utah,Potatoes," September, October"
Utah,Pumpkin, October
Utah,Purslane," May, June, July, August, September, October"
Utah,Quince," October, November"
Utah,Radicchio," August, September, October, November"
Utah,Radishes," May, June, July, August, September, October, November"
Utah,Rapini," September, October"
Utah,Raspberries," June, July, August, September"
Utah,Rhubarb," May, June, July, August"
Utah,Rosemary," April, May, June, July, August, September, October, November"
Utah,Rutabaga," October, November"
Utah,Sage," May, June, July, August, September, October"
Utah,Salsify," January, October, November, December"
Utah,Shallots," July, August, September, October"
Utah,Shell Beans, September
Utah,Snap Peas," March, April, May, June, July"
Utah,Snow Peas," March, April, May, June, July"
Utah,Sorrel," May, June, July, August, September, October"
Utah,Spinach," May, June, July, August, September, October"
Utah,Sprouts," January, February, March, April, May, June, July, August, September, October, November, December"
Utah,Strawberries," June, July, August, September, October"
Utah,Summer Squash," July, August, September, October"
Utah,Sunchokes," January, February, June, July, August"
Utah,Sweet Potatoes," September, October"
Utah,Tarragon," April, May, June"
Utah,Thyme," April, May, June, July, August, September, October, November"
Utah,Tomatillos," July, August, September"
Utah,Tomatoes," July, August, September"
Utah,Turnips," October, November, December"
Utah,Watercress," April, May, June, July"
Utah,Watermelon," September, October"
Utah,Winter Squash," August, September, October, November, December"
Utah,Zucchini," August, September, October"
Vermont,Apples," July, August, September"
Vermont,Apricots," July, August"
Vermont,Arugula," April, May, June, September, October, November"
Vermont,Asian Pears," August, September, October"
Vermont,Asparagus," May, June"
Vermont,Basil," July, August, September"
Vermont,Beets," July, August, September, October, November"
Vermont,Black Eyed Peas," June, July"
Vermont,Blackberries," August, September"
Vermont,Blueberries," July, August, September, October"
Vermont,Bok Choy," July, August, September, October"
Vermont,Boysenberries," June, July"
Vermont,Brambles," June, July, August, September"
Vermont,Broccoli," May, June, July, August, September, October, November"
Vermont,Brussels Sprouts," September, October, November"
Vermont,Cabbage," June, July, August, September, October, November"
Vermont,Cantaloupe," July, August, September"
Vermont,Cardoons," October, November, December"
Vermont,Carrots," July, August, September, October, November"
Vermont,Cauliflower," July, August, October, November"
Vermont,Celery," July, August, September, October, November"
Vermont,Celery Root," July, August, September, October, November"
Vermont,Chard," July, August, September, October"
Vermont,Cherries," June, July"
Vermont,Chicories," September, October, November"
Vermont,Chili Peppers," July, August, September"
Vermont,Chives," March, April, May, June, July, August, September, October"
Vermont,Cilantro," April, May, September, October, November"
Vermont,Collard Greens," June, July, August, September, October"
Vermont,Corn," July, August, September, October"
Vermont,Cranberries," October, November"
Vermont,Cucumbers," August, September, October"
Vermont,Eggplant," August, September, October"
Vermont,Endive," September, October, November"
Vermont,Fiddleheads," April, May"
Vermont,Garlic," August, September, October"
Vermont,Garlic Scapes," May, June"
Vermont,Gooseberries," July, August"
Vermont,Grapes," September, October"
Vermont,Green Beans," July, August, September"
Vermont,Green Onions," May, June, July, August, September, October"
Vermont,Ground Cherries," July, August, September, October"
Vermont,Horseradish," January, February, March, April, October, November, December"
Vermont,Kale," July, August, September, October, November"
Vermont,Kohlrabi," June, July, September, October"
Vermont,Lamb's Quarters," May, June, July, August, September, October"
Vermont,Lavender," July, August, September, October"
Vermont,Leeks," August, September, October, November"
Vermont,Lettuce," July, August, September, October"
Vermont,Lima Beans," June, July, August, September, October, November"
Vermont,Melons," August, September"
Vermont,Mint," June, July, August, September, October"
Vermont,Morels," March, April, May"
Vermont,Mushrooms," January, February, March, April, May, June, July, August, September, October, November, December"
Vermont,Mustard Greens," July, August, September, October, November"
Vermont,Nectarines," July, August"
Vermont,Nettles," March, April, May"
Vermont,Onions," August, September, October"
Vermont,Oregano," June, July, August, September, October"
Vermont,Parsley," June, July, August, September, October"
Vermont,Parsnips," October, November"
Vermont,Pea Shoots," May, June"
Vermont,Pears," August, September, October"
Vermont,Peas," June, July, August"
Vermont,Peppers," August, September, October"
Vermont,Plums," August, September"
Vermont,Potatoes," June, July, August, September, October"
Vermont,Pumpkin," September, October"
Vermont,Purslane," May, June, July, August, September, October"
Vermont,Quince," October, November"
Vermont,Radicchio," September, October, November"
